Well ID,S.No,STATE,DISTRICT,BLOCK,LOCATION,LATITUDE,LONGITUDE,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U(ppb)
#N/A,7910,Tripura,North Tripura,Panisagar,Panisagar,24.2642222,92.15222222,2021,7.44,400.2,0,18.31,56.72,14.12,10.66,,45,8.01,6.06,28.12,3.11,0.64,,208.7,
#N/A,7911,Tripura,Gomti,Tepania,Dhawajnagar,23.55375,91.465,2021,7.38,74.16,0,24.42,24.815,6.87,1.5,,30,6,3.64,9.78,1.89,0.25,,38.75,
#N/A,7912,Tripura,North Tripura,Kadam-tala,Churaibari,24.4377778,92.24666667,2021,6.37,93.11,0,12.21,28.36,11.26,1.08,,25,4,3.64,15.22,2.54,0.13,,48.5,
#N/A,7913,Tripura,Unakoti,Kumarghat,Kanchan-cherra,24.0855278,92.0025,2021,5.15,172.8,0,18.31,35.45,1.72,6.71,,35,10.01,2.42,17.38,4.55,0,,90.87,
#N/A,7914,Uttar Pradesh,Agra,Achhnera,Block Office,27.1774,77.7462,2021,7.62,9048,0,458,1917,1000,0,0,2350,348,355,900,6.1,0.86,22,,
#N/A,7915,Uttar Pradesh,Agra,Akola,Block Office,27.0715,77.8857,2021,7.64,8194,0,445,1704,921,39,0,1650,164,298,1125,19,0.78,22,,
#N/A,7916,Uttar Pradesh,Agra,Bah,Block Office,26.8697,78.5893,2021,7.83,1426,0,366,170,29,108,0,440,60,70,109,3,0.51,33,,
#N/A,7917,Uttar Pradesh,Agra,Barauli Ahir,Block Office,27.1206,78.0601,2021,7.89,1725,0,537,156,232,0,0,340,48,53,281,4.6,0.66,19,,
#N/A,7918,Uttar Pradesh,Agra,Bichpuri,Block Office,27.1727,77.8919,2021,7.76,2946,0,439,320,747,0,0,640,68,113,449,6.7,0.54,21,,
#N/A,7919,Uttar Pradesh,Agra,Etmadpur,Block Office,27.2332,78.1896,2021,8.12,4955,0,390,639,1312,0,0,420,80,53,1064,5.6,2,16,,
#N/A,7920,Uttar Pradesh,Agra,Fatehabad,Block Office,27.0297,78.2962,2021,8.08,2856,0,610,305,481,12,0,295,40,47,463,2,1.6,21,,
#N/A,7921,Uttar Pradesh,Agra,Fatehpur Sikri,Block Office,27.0942,77.6678,2021,7.73,2509,0,415,312,444,23,0,320,56,43,432,2.1,0.24,39,,
#N/A,7922,Uttar Pradesh,Agra,Jagner,Block Office,26.8652,77.5981,2021,8.23,2192,0,830,213,192,12,0,190,32,26,431,2.3,2.5,23,,
#N/A,7923,Uttar Pradesh,Agra,Jaitpur Kalan,Block Office,26.8282,78.7049,2021,8.09,760,0,268,57,47,0,0,240,48,29,59,2.5,0.99,17,,
#N/A,7924,Uttar Pradesh,Agra,Khandauli,Block Office,27.3165,78.0296,2021,7.68,3226,0,500,596,219,111,0,680,64,125,449,3.8,0.73,23,,
#N/A,7925,Uttar Pradesh,Agra,Kheragarh,Block Office,26.9552,77.8222,2021,7.62,6507,0,390,1299,1363,14,0,1880,264,293,795,3.8,0.4,30,,
#N/A,7926,Uttar Pradesh,Agra,Pinhat,Block Office,26.8888,78.3753,2021,7.89,969,0,390,57,35,16,0,295,56,37,64,4.4,0.7,29,,
#N/A,7927,Uttar Pradesh,Agra,Saiyan,Block Office,26.936,77.935,2021,8.2,1566,0,549,99,229,8.1,0,300,48,43,254,1.3,0.6,25,,
#N/A,7928,Uttar Pradesh,Agra,Shamsabad,Block Office,27.0136,78.1233,2021,7.87,1204,0,439,107,16,47,0,410,44,72,95,2.9,0.94,30,,
#N/A,7929,Uttar Pradesh,Aligarh,Akrabad,Akrabad Block Office,27.805,78.2712,2021,7.66,1515,0,305,128,102,217,0,380,52,60,135,16.3,0.33,25,,
#N/A,7930,Uttar Pradesh,Aligarh,Dhanipur,Dhanipur Block Office,27.8721,78.1076,2021,7.95,622,0,366,14,21,3.2,0,190,24,31,67,6.7,0.79,22,,
#N/A,7931,Uttar Pradesh,Aligarh,Jawan,Jawan Block Office,28.0333,78.1162,2021,7.77,750,0,342,21,96,4.4,0,230,32,36,79,6.2,0.57,26,,
#N/A,7932,Uttar Pradesh,Aligarh,Atrauli,Atrauli Block Office,28.0442,78.2811,2021,8.51,968,18,317,106,37,11,0,340,8,77,69,9.9,0.4,27,,
#N/A,7933,Uttar Pradesh,Aligarh,Gangiri,Gangiri Block Office,27.9254,78.3912,2021,8.1,1382,0,634,71,30,36,0,160,12,31,255,5.7,0.52,28,,
#N/A,7934,Uttar Pradesh,Aligarh,Bijauli,Bijauli Block Office,27.9789,78.3997,2021,8.34,1620,12,329,191,135,38,0,210,8,46,266,6.6,0.21,31,,
#N/A,7935,Uttar Pradesh,Aligarh,Chandaus,Chandaus Block Office,28.0805,77.8581,2021,8.36,531,18,232,21,12,19,0,120,4,26,73,4.8,0.61,25,,
#N/A,7936,Uttar Pradesh,Aligarh,Tappal,Tappal Block Office,28.0428,77.5792,2021,7.89,1173,0,390,71,116,30,0,210,28,34,172,4.3,1.9,24,,
#N/A,7937,Uttar Pradesh,Aligarh,Khair,Khair Block Office,27.9435,77.8364,2021,8.45,3188,42,659,383,219,92,0,240,8,53,708,13.6,1.1,25,,
#N/A,7938,Uttar Pradesh,Aligarh,Lodha,Lodha Block Office,27.8933,78.0207,2021,8.54,869,30,366,35,32,13,0,140,8,29,155,10.6,0.42,26,,
#N/A,7939,Uttar Pradesh,Aligarh,Gonda,Gonda Block Office,27.8367,77.8796,2021,8.12,3790,0,525,503,521,16,0,380,12,84,729,14.6,0.62,24,,
#N/A,7940,Uttar Pradesh,Aligarh,Iglas,Iglas Block Office,27.7062,77.9394,2021,7.76,960,0,403,50,73,9.9,0,240,32,38,114,4.1,0.47,22,,
#N/A,7941,Uttar Pradesh,Ambedkar Nagar,Akberpur,H/P located close to NHS,26.4361,82.544,2021,8.13,436,0,244,14,4.8,0,0,150,13,29,32,3.4,0.13,28,,
#N/A,7942,Uttar Pradesh,Ambedkar Nagar,Baskhari,H/P located on the main chaura,26.455,82.7651,2021,7.94,351,0,183,14,8.8,19,0,160,25,24,16,2,0.15,28,,
#N/A,7943,Uttar Pradesh,Ambedkar Nagar,Bhiti,H/P located close to NHS,26.4655,82.3065,2021,7.72,518,0,317,14,3.9,0,0,230,29,38,25,3.5,0.36,28,,
#N/A,7944,Uttar Pradesh,Ambedkar Nagar,Bhiyaon,H/P located near Hanumangar,26.238,82.8273,2021,8.16,450,0,244,21,17,9.3,0,190,21,34,29,2.8,0.3,29,,
#N/A,7945,Uttar Pradesh,Ambedkar Nagar,Jahangirganj,H/P located infront of Kashi gra,26.3529,83.023,2021,8.23,366,0,244,14,1.3,0,0,150,13,29,30,2.6,0.27,31,,
#N/A,7946,Uttar Pradesh,Ambedkar Nagar,Jalalpur,H/P located close to NHS in co,26.31,82.7337,2021,7.93,833,0,329,99,13,17,0,240,17,48,87,4.6,0.03,30,,
#N/A,7947,Uttar Pradesh,Ambedkar Nagar,Katehari,H/P located just ear the gali of,26.4881,82.4493,2021,8.23,474,0,220,35,11,0,0,170,13,34,32,3,0.1,27,,
#N/A,7948,Uttar Pradesh,Ambedkar Nagar,Ramnagar,H/P located in a tea stall infront,26.4464,82.9041,2021,8.27,418,0,244,14,21,0,0,220,46,26,6.7,2.5,0.58,25,,
#N/A,7949,Uttar Pradesh,Ambedkar Nagar,Tanda,H/P located near SBI on Tanda,26.5383,82.64,2021,8.14,420,0,220,21,13,0,0,180,25,29,20,3,0.05,30,,
#N/A,7950,Uttar Pradesh,Auraiya,Achhalda,Block office,26.6995,79.4027,2021,8.46,482,36,207,14,6.3,0,0,140,16,24,55,2.3,1.8,28,,
#N/A,7951,Uttar Pradesh,Auraiya,Airwa Katra,Block office,26.8885,79.4284,2021,8.12,964,0,488,35,67,0,0,250,40,36,120,12,0.57,27,,
#N/A,7952,Uttar Pradesh,Auraiya,Ajitmal,Block office,26.5658,79.3188,2021,8.53,674,48,244,35,23,6.9,0,150,16,26,96,2.9,0.71,36,,
#N/A,7953,Uttar Pradesh,Auraiya,Auraiya,Block office,26.4661,79.5039,2021,7.83,1019,0,146,163,47,103,0,310,52,43,80,3.4,0,39,,
#N/A,7954,Uttar Pradesh,Auraiya,Bhagya Nagar,Block office,26.6116,79.4978,2021,8.52,685,36,317,21,19,11,0,250,16,50,54,3.4,0.28,35,,
#N/A,7955,Uttar Pradesh,Auraiya,Bidhuna,Block office,26.8025,79.5024,2021,8.62,887,48,378,43,33,5,0,260,12,55,99,8.2,0.56,32,,
#N/A,7956,Uttar Pradesh,Auraiya,Sahar,Block office,26.7585,79.6002,2021,8.21,1136,0,586,57,46,7,0,360,72,43,114,6.1,0.98,32,,
#N/A,7957,Uttar Pradesh,Azamgarh,Ahiraula,Block office,26.1815,82.9112,2021,8.23,406,0,238,7.1,2.3,3.2,0,155,6,34,25,2.6,0.47,27,,
#N/A,7958,Uttar Pradesh,Azamgarh,Atraulia,Block office,26.3337,82.9468,2021,7.86,482,0,287,7.1,2.4,0.06,0,180,20,31,37,3.2,0.22,28,,
#N/A,7959,Uttar Pradesh,Azamgarh,Azmatgarh,Block office,26.1458,83.3147,2021,7.81,525,0,268,21,8,1.9,0,215,16,42,24,2,0.47,29,,
#N/A,7960,Uttar Pradesh,Azamgarh,Bilariyaganj,Block office,26.1907,83.2272,2021,7.95,700,0,305,50,17,1.4,0,215,6,48,62,4.2,0.35,27,,
#N/A,7961,Uttar Pradesh,Azamgarh,Harraiya,Block office,26.2437,83.2595,2021,7.92,510,0,293,11,3.4,6.2,0,215,42,26,37,2.7,0.4,31,,
#N/A,7962,Uttar Pradesh,Azamgarh,Jahanaganj,Block office,25.9588,83.2674,2021,7.87,644,0,378,14,1.9,4.3,0,260,16,53,39,2.4,0.21,29,,
#N/A,7963,Uttar Pradesh,Azamgarh,Koyalsa,Block office,26.2025,83.0121,2021,8.26,395,0,195,14,12,0.29,0,90,6,18,51,3.5,0.03,29,,
#N/A,7964,Uttar Pradesh,Azamgarh,Lalganj,Block office,25.7937,82.9971,2021,8.44,617,18,287,21,19,9.6,0,170,4,38,72,6.5,0.28,25,,
#N/A,7965,Uttar Pradesh,Azamgarh,Maharajganj,Block office,26.2511,83.1201,2021,8.01,372,0,220,7.1,1.1,1.3,0,160,46,11,11,2.3,0.07,25,,
#N/A,7966,Uttar Pradesh,Azamgarh,Mehnagar,Block office,25.8238,83.1292,2021,7.94,434,0,244,7.1,14,0.47,0,165,24,25,29,2.9,0.77,23,,
#N/A,7967,Uttar Pradesh,Azamgarh,Mirzapur H.Q.,Block office,26.0206,82.9261,2021,7.88,641,0,354,35,6.3,0.09,0,240,16,48,46,3.6,0.23,25,,
#N/A,7968,Uttar Pradesh,Azamgarh,Mohammadpur,Block office,25.9621,83.0281,2021,8.33,617,21,329,11,4.7,0.72,0,160,6,35,81,1.9,1.2,25,,
#N/A,7969,Uttar Pradesh,Azamgarh,Palhana,Block office,25.7832,83.0859,2021,8.26,1116,0,628,7.1,5.5,3.1,0,15,4,1,293,0.4,6.8,15,,
#N/A,7970,Uttar Pradesh,Azamgarh,Palhani,Block office,26.0514,83.1873,2021,7.72,806,0,360,50,43,2.5,0,320,30,59,44,3.9,0.28,23,,
#N/A,7971,Uttar Pradesh,Azamgarh,Pawai,Block office,26.0848,82.7856,2021,8.21,489,0,293,11,2.3,0.11,0,165,6,36,44,2.7,0.33,25,,
#N/A,7972,Uttar Pradesh,Azamgarh,Phoolpur,Block office,26.0906,82.8614,2021,8.02,448,0,262,7.1,1.9,1.7,0,190,14,37,25,2.6,0.28,27,,
#N/A,7973,Uttar Pradesh,Azamgarh,Rani Ki Sarai,Block office,26.0033,83.1104,2021,7.91,551,0,329,7.1,5.8,0.12,0,225,22,41,37,1.8,0.53,27,,
#N/A,7974,Uttar Pradesh,Azamgarh,Sathiaon,Block office,26.0423,83.2887,2021,7.94,688,0,390,18,4.2,0.18,0,180,16,34,88,1.6,0.48,25,,
#N/A,7975,Uttar Pradesh,Azamgarh,Tahabarpur,Block office,26.1121,83.0736,2021,7.9,426,0,214,11,6,1.7,0,180,24,29,17,1.9,0.31,25,,
#N/A,7976,Uttar Pradesh,Azamgarh,Tarwa,Block office,25.7531,83.1931,2021,8.72,1062,27,586,14,2.9,0.9,0,60,4,12,228,1.1,1.4,20,,
#N/A,7977,Uttar Pradesh,Azamgarh,Thekma,Block office,25.8784,82.9377,2021,7.97,498,0,287,11,6.5,0.07,0,180,16,34,40,4.4,0.37,27,,
#N/A,7978,Uttar Pradesh,Baghpat,Chaprauli,in Block Office,29.2078,77.1792,2021,7.87,1225,0,451,92,66,20,0,330,64,41,104,6.4,0.38,32,,
#N/A,7979,Uttar Pradesh,Baghpat,Baghpat,in Block Office,28.9533,77.2175,2021,8.24,1154,0,458,32,76,0,0,200,40,24,152,4,0.57,27,,
#N/A,7980,Uttar Pradesh,Baghpat,Binauli,in Block Office,29.0944,77.3997,2021,8.23,1140,0,342,107,90,36,0,195,52,16,188,4.7,0.32,33,,
#N/A,7981,Uttar Pradesh,Baghpat,Baraut,in Block Office,29.0975,77.2569,2021,8.17,898,0,238,64,51,85,0,270,32,46,75,2.9,1.5,23,,
#N/A,7982,Uttar Pradesh,Baghpat,Pilana,in Block Office,28.9378,77.3711,2021,8.24,1492,0,622,64,110,22,0,325,56,44,209,7.3,0.42,30,,
#N/A,7983,Uttar Pradesh,Baghpat,Khekra,in Block Office,28.8656,77.2733,2021,8.23,1206,0,439,60,74,12,0,380,48,62,91,6.1,0.47,28,,
#N/A,7984,Uttar Pradesh,Bahraich,Jarwal H.Q.,Jarwal,27.1669,81.5406,2021,8.03,998,0,262,128,76,0,0,350,40,60,70,13,1.3,16,,
#N/A,7985,Uttar Pradesh,Bahraich,Kaisarganj H.Q.,Kaisarganj,27.2514,81.5453,2021,8.06,1065,0,512,43,15,0,0,500,120,48,10,3.7,0,27,,
#N/A,7986,Uttar Pradesh,Bahraich,Fakarpur H.Q.,Fakarpur,27.4194,81.5264,2021,8.43,990,18,287,114,24,0,0,245,20,47,68,45,0.11,21,,
#N/A,7987,Uttar Pradesh,Bahraich,Fejawapur H.Q.,Fejawapur,27.5314,81.4958,2021,8.22,535,0,250,25,0,0,0,210,24,36,15,4.8,0,26,,
#N/A,7988,Uttar Pradesh,Bahraich,Mahasi H.Q.,Mahasi,27.6397,81.3875,2021,7.8,1174,0,342,121,91,0,0,390,84,43,67,26,0.1,20,,
#N/A,7989,Uttar Pradesh,Bahraich,Shivpur H.Q.,Shivpur,27.8108,81.3933,2021,7.73,716,0,372,14,0,0,0,300,56,38,14,5.2,0,28,,
#N/A,7990,Uttar Pradesh,Bahraich,Balha  H.Q.,Balha,27.8503,81.5119,2021,7.78,678,0,329,21,10,0,0,290,64,31,10,4.2,0.15,27,,
#N/A,7991,Uttar Pradesh,Bahraich,Nawabganj,Babaganj,27.9686,81.5597,2021,8.31,547,0,232,36,8.5,0,0,230,24,41,12,2.6,0.4,30,,
#N/A,7992,Uttar Pradesh,Bahraich,Risia H.Q.,Risia,27.6856,81.6008,2021,7.98,558,0,226,28,28,0,0,245,48,30,12,2.7,0.15,27,,
#N/A,7993,Uttar Pradesh,Bahraich,Bisheshwarganj H.Q.,Bisheshwarganj,27.3472,81.8436,2021,8.09,587,0,299,14,0,0,0,250,52,29,10,1.9,0.21,31,,
#N/A,7994,Uttar Pradesh,Bahraich,Payagpur H.Q.,Payagpur,27.4014,81.7764,2021,7.97,578,0,275,28,11,0,0,270,48,36,15,2.7,0.12,30,,
#N/A,7995,Uttar Pradesh,Bahraich,Chittaura H.Q.,Chittaura,27.5411,81.6467,2021,7.98,574,0,293,14,5.9,0,0,240,56,24,10,3.1,0.39,29,,
#N/A,7996,Uttar Pradesh,Ballia,Bairya,Inside Block office,25.7769,84.4734,2021,7.74,585,0,293,14,11,1.9,0,180,56,10,15,2.8,0.03,20,,
#N/A,7997,Uttar Pradesh,Ballia,Bansdeeh,Inside Block office,25.8742,84.2163,2021,8.38,1371,18,293,156,70,22,0,120,4,26,283,1.8,0.04,25,,
#N/A,7998,Uttar Pradesh,Ballia,Belhari,Inside Block office,25.7363,84.2934,2021,7.96,866,0,244,78,72,1.6,0,250,36,38,66,35,0.21,20,,
#N/A,7999,Uttar Pradesh,Ballia,Beruwarbari,Inside Block office,25.8804,84.1323,2021,7.78,422,0,232,7.1,9.9,0.1,0,190,8,41,12,2.5,0.14,22,,
#N/A,8000,Uttar Pradesh,Ballia,Chilkahar,Inside Block office,25.825,83.9643,2021,7.74,598,0,366,7.1,1.5,2.6,0,245,20,47,37,2.5,0.58,27,,
#N/A,8001,Uttar Pradesh,Ballia,dubahar,Inside Block office,27.445,84.2393,2021,7.93,521,0,287,18,0.58,2,0,195,24,32,40,4,0.33,27,,
#N/A,8002,Uttar Pradesh,Ballia,Garwar,Inside Block office,25.8288,84.0291,2021,8.33,484,21,244,14,2.2,0.23,0,175,6,38,43,3.6,0.24,25,,
#N/A,8003,Uttar Pradesh,Ballia,Hanumanganj,Inside Block office,25.765,84.1451,2021,8.27,346,0,201,7.1,1.5,1.3,0,145,16,25,22,2.5,0.43,27,,
#N/A,8004,Uttar Pradesh,Ballia,Maniyar,Inside Block office,25.8136,84.0346,2021,8.05,327,0,177,7.1,4.8,0.46,0,95,14,14,33,7.2,0.06,25,,
#N/A,8005,Uttar Pradesh,Ballia,Murali Chhapara,Inside Block office,25.7282,84.5165,2021,8.13,302,0,177,7.1,1.5,0.69,0,125,10,24,18,2.8,0,22,,
#N/A,8006,Uttar Pradesh,Ballia,Nawa Nagar,Inside Block office,26.0321,84.0556,2021,8.05,266,0,140,7.1,8.1,0.09,0,110,18,16,13,2.4,0.13,24,,
#N/A,8007,Uttar Pradesh,Ballia,Negara,Inside Block office,25.971,83.8737,2021,8.01,292,0,159,11,3.1,0.34,0,100,12,17,24,3.4,0.08,25,,
#N/A,8008,Uttar Pradesh,Ballia,Pandah,Inside Block office,25.9573,84.0022,2021,7.87,400,0,220,14,3.8,0.1,0,165,18,29,25,3.3,0.09,26,,
#N/A,8009,Uttar Pradesh,Ballia,Rasara,Inside Block office,25.8572,83.8627,2021,8.47,802,24,409,14,19,0.43,0,130,4,29,202,1.6,0.57,22,,
#N/A,8010,Uttar Pradesh,Ballia,Reoti,Inside Block office,25.8418,84.3718,2021,7.92,278,0,159,7.1,0.87,2.3,0,115,28,11,11,0.9,0.23,22,,
#N/A,8011,Uttar Pradesh,Ballia,Siyar,Inside Block office,26.1319,83.8794,2021,8.15,315,0,171,11,5.7,0.12,0,110,14,18,34,2.7,0.13,27,,
#N/A,8012,Uttar Pradesh,Ballia,Sohaon,Inside Block office,25.6293,84.004,2021,8.01,380,0,220,7.1,1,1.3,0,130,18,20,41,3.1,0.15,19,,
#N/A,8013,Uttar Pradesh,Balrampur,Harraiya Satgharwa H.Q.,Harraiya Satgharwa,27.6361,82.1744,2021,8.46,894,24,409,14,10,0,0,250,24,46,72,1.8,0,22,,
#N/A,8014,Uttar Pradesh,Balrampur,Tulsipur,Kauwapur HQ,27.5222,82.2956,2021,7.89,448,0,268,14,7.6,0,0,200,28,31,19,1.2,0.52,27,,
#N/A,8015,Uttar Pradesh,Balrampur,Gaidas Buzurg H.Q.,Gaidas Buzurg,27.2636,82.4208,2021,8.19,522,0,305,14,0,0,0,220,32,34,16,3,0.12,33,,
#N/A,8016,Uttar Pradesh,Balrampur,Rehra Bazar H.Q.,Rehra Bazar,27.1817,82.2786,2021,8.13,651,0,220,71,22,0,0,280,40,43,21,3.5,0.26,27,,
#N/A,8017,Uttar Pradesh,Balrampur,Sriduttaganj H.Q.,Sriduttaganj,27.3744,82.3025,2021,8.15,523,0,250,21,9,0,0,210,32,31,25,2.5,0,30,,
#N/A,8018,Uttar Pradesh,Banda,Baberu,Sundar Well,25.5545,80.7094,2021,8.04,1635,0,671,113,80,52,0,440,48,77,172,22,0.79,31,,
#N/A,8019,Uttar Pradesh,Banda,Barokhar,Block office,25.5545,80.7094,2021,7.83,1915,0,342,177,120,280,0,520,52,94,176,6.3,0.6,30,,
#N/A,8020,Uttar Pradesh,Banda,Bisanda,200 metre form Trijunction of bi,25.5545,80.7094,2021,7.97,1407,0,573,128,44,8,0,430,20,91,134,1.6,0.45,33,,
#N/A,8021,Uttar Pradesh,Banda,Jaspura,Block office,25.5545,80.7094,2021,7.88,562,0,317,21,6,5,0,160,24,24,70,2.3,0.18,34,,
#N/A,8022,Uttar Pradesh,Banda,Kamasin,"Near Anshu Electronics, Banda",25.5545,80.7094,2021,8.21,835,0,464,28,15,13,0,130,12,24,152,1.1,0.55,31,,
#N/A,8023,Uttar Pradesh,Banda,Mahua,Block office,25.5545,80.7094,2021,8.1,925,0,512,28,17,14,0,140,12,26,172,1.3,0.66,34,,
#N/A,8024,Uttar Pradesh,Banda,Naraini,33/11 K.V. Substation,25.5545,80.7094,2021,8.18,771,0,244,78,62,14,0,300,24,58,44,1.2,0.39,28,,
#N/A,8025,Uttar Pradesh,Banda,Tindwari,Block office,25.5545,80.7094,2021,7.82,689,0,342,43,11,13,0,200,32,29,80,1.6,0.25,29,,
#N/A,8026,Uttar Pradesh,Barabanki,Trivediganj,Block HQ,26.6419,81.3089,2021,8.04,524,0,305,14,20,10,0,250,16,51,23,3.9,0.76,31,,
#N/A,8027,Uttar Pradesh,Barabanki,Banki,Block Office,26.9304,81.1841,2021,8.32,800,36,329,14,16,0,0,788,36,24,82,4.3,0.57,27,,
#N/A,8028,Uttar Pradesh,Barabanki,Dewa,Block Office,27.0357,81.1706,2021,8.07,610,0,281,14,13,0,0,672,48,24,19,5.7,0.67,24,,
#N/A,8029,Uttar Pradesh,Barabanki,Fatehpur,Block Office,27.1743,81.2158,2021,7.99,847,0,366,35,32,0,0,1600,80,26,32,5.5,0.15,21,,
#N/A,8030,Uttar Pradesh,Barabanki,Ramnagar,Block Office,27.0852,81.4053,2021,7.98,610,0,207,35,39,0,0,1936,44,24,25,3.3,0.21,27,,
#N/A,8031,Uttar Pradesh,Barabanki,Suratganj,Block Office,27.1932,81.3344,2021,7.89,2000,0,793,175,41,12,0,2050,40,46,272,65,0.28,37,,
#N/A,8032,Uttar Pradesh,Barabanki,Sirauli Gauspur,Block Office,26.9576,81.4365,2021,8.24,391,0,146,14,24,0,0,1221,32,17,8,2.1,0.25,17,,
#N/A,8033,Uttar Pradesh,Barabanki,Daraiyabad,Block Office,26.8885,81.5569,2021,8.13,620,0,317,14,8.9,0,0,443,32,31,38,2.8,0.87,29,,
#N/A,8034,Uttar Pradesh,Barabanki,Puredalai,Block Office,26.8686,81.7103,2021,8.15,485,0,220,14,2.9,0,0,145,28,24,17,1.9,0.27,27,,
#N/A,8035,Uttar Pradesh,Barabanki,Banikodar,Block Office,26.793,81.524,2021,7.92,609,0,293,14,12,0,0,600,36,29,33,3.2,0.24,30,,
#N/A,8036,Uttar Pradesh,Barabanki,Masauli,Block Office,26.9809,81.3221,2021,7.96,700,0,317,14,29,0,0,1432,44,34,30,3.6,0.77,28,,
#N/A,8037,Uttar Pradesh,Barabanki,Harak,Block Office,26.8553,81.2285,2021,8.07,706,0,342,14,6,0,0,299,28,41,29,5.1,0.59,27,,
#N/A,8038,Uttar Pradesh,Barabanki,Siddharthnagar,Block Office,27.3005,83.0945,2021,7.98,760,0,342,35,23,0,0,1153,48,36,33,18,0.07,23,,
#N/A,8039,Uttar Pradesh,Barabanki,Haidergarh,Block Office,26.6046,81.3633,2021,8.05,700,0,354,7,14,0,0,687,28,46,29,4.2,0.61,30,,
#N/A,8040,Uttar Pradesh,Barabanki,Nindura,Block Office,27.1214,81.0727,2021,8.16,531,0,256,14,12,0,0,578,24,34,21,4.3,0.55,29,,
#N/A,8041,Uttar Pradesh,Barabanki,Mawai,Block Office,26.7412,81.5871,2021,8.08,610,0,317,14,2.6,0,0,129,32,38,21,2.4,0.56,25,,
#N/A,8042,Uttar Pradesh,Barabanki,Rudauli,Block Office,26.7521,81.7511,2021,8.01,615,0,281,28,15,0,0,750,36,34,25,4.2,0.56,30,,
#N/A,8043,Uttar Pradesh,Bareilly,Alampur Jafarabad,Block  Office (BDO),28.211,79.2915,2021,8.1,528,0,256,21,38,0,0,110,24,12,77,2.8,0.42,25,,
#N/A,8044,Uttar Pradesh,Bareilly,Baheri,Block  Office (BDO),28.779,79.4974,2021,7.9,312,0,159,7.1,15,0,0,105,36,3.6,23,2.6,0.62,23,,
#N/A,8045,Uttar Pradesh,Bareilly,Bhadpura,Block  Office (BDO),28.4539,79.6966,2021,7.8,420,0,207,14,4.2,0.51,0,140,20,22,23,4.7,0.39,26,,
