Well ID,S.No,STATE,DISTRICT,BLOCK,LOCATION,LATITUDE,LONGITUDE,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U(ppb)
#N/A,7896,Tripura,North Tripura,Laljuri,Naba Joypara (Natun Basti),24.175,92.21638889,2021,8,208.4,0,73.26,17.725,17.95,0.81,,95,22.02,9.7,5.93,3.94,0.69,,107.8,
#N/A,7897,Tripura,Unakoti,Chandipur,Jarultali,24.2541667,91.98583333,2021,7.98,97.36,0,30.52,63.81,0,0.25,,105,12.01,18.2,8.17,2.97,0.31,,51.64,
#N/A,7898,Tripura,Unakoti,Kumarghat,Chandra- moni Kami,24.1119444,92.19833333,2021,7.91,226,0,36.63,53.175,18.19,0,,105,26.02,9.7,10.51,6.4,0.63,,120.4,
#N/A,7899,Tripura,North Tripura,Yubaraj-nagar,Krishnapur,24.3394444,92.15777778,2021,7.85,266.9,0,61.05,38.995,3.62,0.52,,75,12.01,10.92,8.06,7.77,0.3,,139.8,
#N/A,7900,Tripura,North Tripura,Yubaraj-nagar,Baghbassa,24.3518333,92.22194444,2021,7.84,131.6,0,54.94,17.725,17.53,0.25,,60,14.01,6.06,13,2.89,0.29,,68.63,
#N/A,7901,Tripura,Khowai,Telia-mura,Pachim Howaibari,23.81,91.59194444,2021,7.74,321.3,0,48.84,67.355,19.57,6.9,,70,14.01,8.49,27.78,13.82,0.41,,165.7,
#N/A,7902,Tripura,Gomti,Amarpur,Amarpur,23.5137222,91.65666667,2021,7.69,178.9,0,36.63,38.995,34.93,1.7,,35,4,6.07,26.9,11.77,0.22,,92.39,
#N/A,7903,Tripura,Sepahijala,Boxnagar,Dakshin Kalamcherra,23.5736111,93.8225,2021,7.66,257.1,0,30.52,49.63,17.88,7.11,,60,10.01,8.49,20.71,8.67,0.39,,135.6,
#N/A,7904,Tripura,Gomti,Amarpur,Bampur,23.5622222,91.63527778,2021,7.61,178.2,0,24.42,35.45,32.25,1.77,,30,6,3.64,22.1,12.19,0.3,,91.79,
#N/A,7905,Tripura,West Tripura,Agartala M. C.,A.D Nagar,23.8144444,91.2675,2021,7.56,412.2,0,24.42,81.535,1.33,10.67,,115,18.01,16.98,16.63,5.75,0.22,,215.7,
#N/A,7906,Tripura,Gomti,Matabari,Gorjee Bazar,23.4266667,91.50583333,2021,7.54,263.6,0,36.63,53.175,50.11,7.03,,55,12.01,6.06,37.91,8.85,0.26,,136.8,
#N/A,7907,Tripura,West Tripura,Dukli,Madhuban,23.7886111,91.28583333,2021,7.53,415.3,0,24.42,85.08,8.17,10.73,,105,8.01,20.63,27.86,5.99,0.23,,211.1,
#N/A,7908,Tripura,Unakoti,Chandipur,Pancham-nagar,24.21825,91.98111111,2021,7.51,135.5,0,85.47,7.09,4.52,1.9,,80,20.02,7.27,4.28,3.28,0.43,,71.55,
#N/A,7909,Tripura,West Tripura,Mohanpur,Ishanpur,24.0452778,91.39916667,2021,7.5,216.5,0,79.36,35.45,3.89,0.03,,80,20.02,7.27,17.53,9.34,0.49,,114.1,
